Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
35401143,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
35411140,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
35421635,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
35431652,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
35441659,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
35451645,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
35461166,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
35471142,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
35471378,000004D5,false,Rx,1,8,00,00,04,40,04,29,29,1A,
35471627,0000051F,false,Rx,1,8,00,00,0A,0B,00,00,00,00,
35471865,000005A6,false,Rx,1,8,14,00,00,00,1C,00,00,00,
35472113,000005A7,false,Rx,1,8,00,00,00,00,00,00,00,00,
35472364,00000620,false,Rx,1,8,00,6D,00,00,00,00,0A,0B,
35472591,00000671,false,Rx,1,8,0A,00,AE,AE,00,00,14,0D,
35481250,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
35491277,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
35501606,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
35511147,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
35521641,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
35531649,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
35541667,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
35551644,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
35561163,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
35571140,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
35571377,000004D5,false,Rx,1,8,00,00,04,40,04,29,29,1A,
35571625,0000051F,false,Rx,1,8,00,00,0A,0B,00,00,00,00,
35571863,000005A6,false,Rx,1,8,14,00,00,00,1C,00,00,00,
35572112,000005A7,false,Rx,1,8,00,00,00,00,00,00,00,00,
35572361,00000620,false,Rx,1,8,25,74,00,00,00,00,0A,0B,
35572599,00000671,false,Rx,1,8,0A,00,AE,AE,00,00,14,0D,
35581257,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
35591287,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
35601615,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
35611144,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
35621638,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
35631656,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
35641664,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
35651641,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
35661173,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
35671148,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
35671383,000004D5,false,Rx,1,8,00,00,04,40,04,29,29,1A,
35671631,0000051F,false,Rx,1,8,00,00,0A,0B,00,00,00,00,
35671870,000005A6,false,Rx,1,8,14,00,00,00,1C,00,00,00,
35672118,000005A7,false,Rx,1,8,00,00,00,00,00,00,00,00,
35672368,00000620,false,Rx,1,8,2C,76,00,00,00,00,0A,0B,
35672595,00000671,false,Rx,1,8,0A,00,AE,AE,00,00,14,0D,
35681266,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
35691283,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
35701613,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
35711143,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
35722644,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
35732651,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
35742660,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
35752646,000001FF,false,Rx,1,8,00,00,00,00,00,00,00,00,
