Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
115337642,00000670,false,Rx,1,8,78,1E,00,1D,80,1A,22,00,
115337897,000004E0,false,Rx,1,8,00,00,00,00,00,00,00,0A,
115338136,000004DD,false,Rx,1,8,00,00,00,00,00,00,00,00,
115338384,000004DE,false,Rx,1,8,00,00,0F,00,00,C0,1F,00,
115338633,0000051E,false,Rx,1,8,00,00,00,00,00,00,00,00,
115338874,00000542,false,Rx,1,8,09,01,04,00,00,00,00,00,
115339122,0000054A,false,Rx,1,8,00,00,00,00,00,00,00,00,
115339370,00000588,false,Rx,1,8,14,0D,00,00,00,18,00,00,
115339630,00000597,false,Rx,1,8,81,00,00,00,00,00,00,00,
115339859,000005AD,false,Rx,1,8,AE,AE,00,00,0D,0E,00,00,
115340097,000005AE,false,Rx,1,8,4A,00,18,06,0B,00,00,00,
115340345,000005F1,false,Rx,1,8,9C,13,14,0D,00,00,00,00,
115437646,00000670,false,Rx,1,8,00,00,00,00,90,1A,22,00,
115437892,000004E0,false,Rx,1,8,00,00,00,00,00,00,00,0A,
115438141,000004DD,false,Rx,1,8,00,00,00,00,00,00,00,00,
115438389,000004DE,false,Rx,1,8,00,00,0F,00,00,C0,1F,00,
115438638,0000051E,false,Rx,1,8,00,00,00,00,00,00,00,00,
115438878,00000542,false,Rx,1,8,09,01,04,00,00,00,00,00,
115439126,00000588,false,Rx,1,8,13,0D,00,00,00,18,00,00,
115439374,00000597,false,Rx,1,8,03,00,00,00,00,00,00,00,
115439603,000005AD,false,Rx,1,8,AE,AE,00,00,0D,0E,00,00,
115439853,000005AE,false,Rx,1,8,00,02,18,06,0C,00,00,00,
115440091,000005F1,false,Rx,1,8,9C,13,13,0D,00,00,00,00,
115537656,00000670,false,Rx,1,8,00,00,00,00,90,1A,22,00,
115537903,000004E0,false,Rx,1,8,00,00,00,00,00,00,00,0A,
115538151,000004DD,false,Rx,1,8,00,00,00,00,00,00,00,00,
115538389,000004DE,false,Rx,1,8,00,00,0F,00,00,C0,1F,00,
115538638,0000051E,false,Rx,1,8,00,00,00,00,00,00,00,00,
115538888,00000542,false,Rx,1,8,09,01,04,00,00,00,00,00,
115539126,00000588,false,Rx,1,8,13,0D,00,00,00,18,00,00,
115539375,00000597,false,Rx,1,8,83,00,00,00,00,00,00,00,
115539603,000005AD,false,Rx,1,8,AE,AE,00,00,0D,0E,00,25,
115539853,000005AE,false,Rx,1,8,00,02,18,06,0C,00,00,00,
115540092,000005F1,false,Rx,1,8,9C,13,13,0D,00,00,00,00,
115638652,00000670,false,Rx,1,8,00,00,00,00,90,1A,22,00,
115638897,000004E0,false,Rx,1,8,00,00,00,00,00,00,00,0A,
115639146,000004DD,false,Rx,1,8,00,00,00,00,00,00,00,00,
115639394,000004DE,false,Rx,1,8,00,00,0F,00,00,C0,1F,00,
115639643,0000051E,false,Rx,1,8,00,00,00,00,00,00,00,00,
115639883,00000542,false,Rx,1,8,09,01,04,00,00,00,00,00,
115640122,00000588,false,Rx,1,8,13,0D,00,00,00,18,00,00,
115640370,00000597,false,Rx,1,8,03,00,00,00,00,00,00,00,
115640608,000005AD,false,Rx,1,8,AE,AE,00,00,0D,0E,00,2D,
115640849,000005AE,false,Rx,1,8,00,02,18,06,0C,00,00,00,
115641087,000005F1,false,Rx,1,8,9C,13,13,0D,00,00,00,00,
115738652,00000670,false,Rx,1,8,00,00,00,00,90,1A,22,00,
115738907,000004E0,false,Rx,1,8,00,00,00,00,00,00,00,0A,
115739146,000004DD,false,Rx,1,8,00,00,00,00,00,00,00,00,
115739394,000004DE,false,Rx,1,8,00,00,0F,00,00,C0,1F,00,
115739643,0000051E,false,Rx,1,8,00,00,00,00,00,00,00,00,
115739883,00000542,false,Rx,1,8,09,01,04,00,00,00,00,00,
115740131,00000588,false,Rx,1,8,13,0D,00,00,00,18,00,00,
115740379,00000597,false,Rx,1,8,83,00,00,00,00,00,00,00,
115740608,000005AD,false,Rx,1,8,AE,AE,00,00,0D,0E,00,2D,
115740858,000005AE,false,Rx,1,8,00,02,18,06,0C,00,00,00,
115741096,000005F1,false,Rx,1,8,9C,13,13,0D,00,00,00,00,
