Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
172750,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
172995,00000329,false,Rx,0,8,11,7B,C5,00,00,00,00,00,
173243,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
173391,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
173628,00000545,false,Rx,0,8,00,19,0B,00,7E,10,00,18,
182755,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
182990,00000329,false,Rx,0,8,11,7B,C5,00,00,00,00,00,
183238,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
183397,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
183634,00000545,false,Rx,0,8,00,1A,0B,00,7E,10,00,18,
192750,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
192994,00000329,false,Rx,0,8,11,7B,C5,00,00,00,00,00,
193243,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
193391,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
193628,00000545,false,Rx,0,8,00,1B,0B,00,7E,10,00,18,
202756,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
202990,00000329,false,Rx,0,8,11,7B,C5,00,00,00,00,00,
203238,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
203396,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
203634,00000545,false,Rx,0,8,00,1C,0B,00,7E,10,00,18,
212750,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
212994,00000329,false,Rx,0,8,11,7B,C5,00,00,00,00,00,
213243,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
213391,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
213639,00000545,false,Rx,0,8,00,1D,0B,00,7E,10,00,18,
217386,00000285,false,Rx,0,8,00,00,00,00,00,00,00,00,
217631,00000286,false,Rx,0,8,0F,6E,00,00,00,00,00,00,
217879,00000523,false,Rx,0,8,00,00,00,00,00,00,00,00,
222752,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
222996,00000329,false,Rx,0,8,11,7B,C5,00,00,00,00,00,
223245,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
223393,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
223630,00000545,false,Rx,0,8,00,1E,0B,00,7E,10,00,18,
232756,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
232990,00000329,false,Rx,0,8,86,7B,C5,00,00,00,00,00,
233238,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
233397,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
233634,00000545,false,Rx,0,8,00,1F,0B,00,7E,10,00,18,
242750,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
242994,00000329,false,Rx,0,8,86,7B,C5,00,00,00,00,00,
243244,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
243392,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
243629,00000545,false,Rx,0,8,00,20,0B,00,7E,10,00,18,
252756,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
252990,00000329,false,Rx,0,8,86,7B,C5,00,00,00,00,00,
253240,000002F0,false,Rx,0,8,00,00,00,00,00,00,00,00,
253500,00000200,false,Rx,0,8,00,00,00,00,00,00,00,00,
253748,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
253894,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
254132,00000545,false,Rx,0,8,00,21,0B,00,7E,10,00,18,
262757,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
262991,00000329,false,Rx,0,8,86,7B,C5,00,00,00,00,00,
263241,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
263398,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
263635,00000545,false,Rx,0,8,00,22,0B,00,7E,10,00,18,
272751,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
272996,00000329,false,Rx,0,8,86,7B,C5,00,00,00,00,00,
273245,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
273392,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
273629,00000545,false,Rx,0,8,00,23,0B,00,7E,10,00,18,
282756,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
282990,00000329,false,Rx,0,8,86,7B,C5,00,00,00,00,00,
283240,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
283397,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
283634,00000545,false,Rx,0,8,00,24,0B,00,7E,10,00,18,
292760,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
292994,00000329,false,Rx,0,8,86,7B,C5,00,00,00,00,00,
293244,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
293391,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
293639,00000545,false,Rx,0,8,00,25,0B,00,7E,10,00,18,
302756,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
303000,00000329,false,Rx,0,8,D9,7B,C5,00,00,00,00,00,
303250,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
303397,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
303634,00000545,false,Rx,0,8,00,26,0B,00,7E,10,00,18,
312760,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
312995,00000329,false,Rx,0,8,D9,7B,C5,00,00,00,00,00,
313244,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
313402,0000043B,false,Rx,0,3,46,00,00,00,00,00,00,00,
313639,00000545,false,Rx,0,8,00,27,0B,00,7E,10,00,18,
317397,00000285,false,Rx,0,8,00,00,00,00,00,00,00,00,
317642,00000286,false,Rx,0,8,0F,6E,00,00,00,00,00,00,
317891,00000523,false,Rx,0,8,00,00,00,00,00,00,00,00,
322762,00000316,false,Rx,0,8,04,00,C0,12,00,00,00,00,
322996,00000329,false,Rx,0,8,D9,7B,C5,00,00,00,00,00,
