Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
142397443,00000200,false,Tx,0,8,00,00,00,00,80,10,00,90,
142397644,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
142397916,000002F0,false,Tx,1,8,00,00,00,00,00,00,00,00,
142407104,00000200,false,Tx,0,8,00,00,00,00,80,10,02,92,
142407296,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
142407666,000002F0,false,Tx,1,8,00,00,00,00,00,00,01,01,
142416996,00000200,false,Tx,0,8,00,00,00,00,80,10,04,94,
142417193,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
142417494,000002F0,false,Tx,1,8,00,00,00,00,00,00,02,02,
142427039,00000200,false,Tx,0,8,00,00,00,00,80,10,06,96,
142427234,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
142427510,000002F0,false,Tx,1,8,00,00,00,00,00,00,03,03,
142437615,00000200,false,Tx,0,8,00,00,00,00,80,10,08,98,
142437835,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
142438077,000002F0,false,Tx,1,8,00,00,00,00,00,00,00,00,
142446909,00000200,false,Tx,0,8,00,00,00,00,80,10,0A,9A,
142447107,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
142447352,000002F0,false,Tx,1,8,00,00,00,00,00,00,01,01,
142457386,00000200,false,Tx,0,8,00,00,00,00,80,10,0C,9C,
142457585,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
142457838,000002F0,false,Tx,1,8,00,00,00,00,00,00,02,02,
142467381,00000200,false,Tx,0,8,00,00,00,00,80,10,0E,9E,
142467598,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
142467815,000002F0,false,Tx,1,8,00,00,00,00,00,00,03,03,
142468097,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
142477432,00000200,false,Tx,0,8,00,00,00,00,80,10,10,80,
142477630,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
142477898,000002F0,false,Tx,1,8,00,00,00,00,00,00,00,00,
142487376,00000200,false,Tx,0,8,00,00,00,00,80,10,12,82,
142487595,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
142487670,000002F0,false,Tx,1,8,00,00,00,00,00,00,01,01,
142496940,00000200,false,Tx,0,8,00,00,00,00,80,10,14,84,
142497150,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
142497409,000002F0,false,Tx,1,8,00,00,00,00,00,00,02,02,
142507379,00000200,false,Tx,0,8,00,00,00,00,80,10,16,86,
142507621,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
142507923,000002F0,false,Tx,1,8,00,00,00,00,00,00,03,03,
142516990,00000200,false,Tx,0,8,00,00,00,00,80,10,18,88,
142517176,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
142517443,000002F0,false,Tx,1,8,00,00,00,00,00,00,00,00,
142527014,00000200,false,Tx,0,8,00,00,00,00,80,10,1A,8A,
142527197,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
142527487,000002F0,false,Tx,1,8,00,00,00,00,00,00,01,01,
142537655,00000200,false,Tx,0,8,00,00,00,00,80,10,1C,8C,
142537880,000002A1,false,Tx,1,8,00,00,00,00,00,00,FF,02,
